"Step","Proposed_Uniform - rollout/success_rate","Proposed_Uniform - rollout/success_rate__MIN","Proposed_Uniform - rollout/success_rate__MAX","Prior_Uniform - rollout/success_rate","Prior_Uniform - rollout/success_rate__MIN","Prior_Uniform - rollout/success_rate__MAX","Prior_Strong - rollout/success_rate","Prior_Strong - rollout/success_rate__MIN","Prior_Strong - rollout/success_rate__MAX","Proposed_hard - rollout/success_rate","Proposed_hard - rollout/success_rate__MIN","Proposed_hard - rollout/success_rate__MAX","Proposed_medium2 - rollout/success_rate","Proposed_medium2 - rollout/success_rate__MIN","Proposed_medium2 - rollout/success_rate__MAX","Prior_medium2 - rollout/success_rate","Prior_medium2 - rollout/success_rate__MIN","Prior_medium2 - rollout/success_rate__MAX"
"3","0","0","0","0","0","0","0.083333336","0.083333336","0.083333336","0","0","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0.083333336","0.083333336","0.083333336","0","0","0","0","0","0","0","0","0"
"19","0","0","0","0","0","0","0.083333336","0.083333336","0.083333336","0","0","0","0","0","0","0","0","0"
"23","","","","0","0","0","0.041666668","0.041666668","0.041666668","","","","","","","0","0","0"
"35","","","","0","0","0","0.041666668","0.041666668","0.041666668","","","","","","","0","0","0"
"37","0","0","0","","","","","","","","","","0.041666668","0.041666668","0.041666668","","",""
"39","","","","0","0","0","0.041666668","0.041666668","0.041666668","","","","","","","0","0","0"
"45","","","","","","","","","","0.041666668","0.041666668","0.041666668","","","","","",""
"46","","","","","","","","","","","","","","","","0","0","0"
"51","0","0","0","","","","","","","","","","0.041666668","0.041666668","0.041666668","","",""
"54","","","","0.027777778","0.027777778","0.027777778","0.055555556","0.055555556","0.055555556","","","","","","","","",""
"55","0","0","0","","","","","","","","","","0.041666668","0.041666668","0.041666668","","",""
"59","","","","","","","","","","0.041666668","0.041666668","0.041666668","","","","","",""
"60","","","","","","","","","","","","","","","","0","0","0"
"63","","","","","","","","","","0.041666668","0.041666668","0.041666668","","","","","",""
"64","0","0","0","","","","","","","","","","","","","0","0","0"
"68","","","","0.027777778","0.027777778","0.027777778","0.055555556","0.055555556","0.055555556","","","","","","","","",""
"72","","","","0.027777778","0.027777778","0.027777778","0.055555556","0.055555556","0.055555556","","","","0.083333336","0.083333336","0.083333336","","",""
"78","0","0","0","","","","","","","","","","","","","","",""
"80","","","","","","","","","","0.055555556","0.055555556","0.055555556","","","","","",""
"82","0","0","0","","","","","","","","","","","","","","",""
"86","","","","","","","","","","","","","0.083333336","0.083333336","0.083333336","","",""
"90","","","","0.041666668","0.041666668","0.041666668","","","","","","","0.083333336","0.083333336","0.083333336","0.0625","0.0625","0.0625"
"94","","","","","","","","","","0.055555556","0.055555556","0.055555556","","","","","",""
"98","","","","","","","0.125","0.125","0.125","0.055555556","0.055555556","0.055555556","","","","","",""
"104","","","","0.041666668","0.041666668","0.041666668","","","","","","","","","","0.0625","0.0625","0.0625"
"108","0.0625","0.0625","0.0625","0.041666668","0.041666668","0.041666668","","","","","","","","","","0.0625","0.0625","0.0625"
"112","","","","0.05","0.05","0.05","0.125","0.125","0.125","","","","","","","0.09615385","0.09615385","0.09615385"
"116","","","","","","","","","","","","","0.1","0.1","0.1","","",""
"122","0.0625","0.0625","0.0625","","","","","","","","","","","","","","",""
"124","","","","","","","","","","0.1","0.1","0.1","","","","","",""
"126","0.0625","0.0625","0.0625","0.05","0.05","0.05","0.125","0.125","0.125","","","","","","","0.1","0.1","0.1"
"130","","","","0.05","0.05","0.05","0.15384616","0.15384616","0.15384616","","","","0.083333336","0.083333336","0.083333336","","",""
"138","","","","","","","","","","0.083333336","0.083333336","0.083333336","","","","","",""
"140","","","","","","","","","","","","","","","","0.1","0.1","0.1"
"144","","","","","","","0.13114753","0.13114753","0.13114753","","","","0.083333336","0.083333336","0.083333336","0.09375","0.09375","0.09375"
"147","","","","0.041666668","0.041666668","0.041666668","","","","","","","","","","","",""
"148","","","","","","","","","","","","","0.115384616","0.115384616","0.115384616","","",""
"152","0.05","0.05","0.05","","","","","","","0.083333336","0.083333336","0.083333336","","","","","",""
"156","0.05","0.05","0.05","","","","","","","0.07692308","0.07692308","0.07692308","","","","","",""
"158","","","","","","","0.13114753","0.13114753","0.13114753","","","","","","","","",""
"160","0.05","0.05","0.05","","","","","","","","","","","","","","",""
"161","","","","0.041666668","0.041666668","0.041666668","","","","","","","","","","","",""
"162","","","","","","","0.125","0.125","0.125","","","","0.14285715","0.14285715","0.14285715","","",""
"163","","","","","","","","","","","","","","","","0.097222224","0.097222224","0.097222224"
"165","","","","0.041666668","0.041666668","0.041666668","","","","","","","","","","","",""
"169","","","","0.078947365","0.078947365","0.078947365","","","","","","","","","","","",""
"177","0.0625","0.0625","0.0625","","","","","","","","","","","","","0.097222224","0.097222224","0.097222224"
"181","","","","","","","0.10958904","0.10958904","0.10958904","","","","","","","0.10526316","0.10526316","0.10526316"
