"Step","Proposed_Uniform - rollout/ep_rew_mean","Proposed_Uniform - rollout/ep_rew_mean__MIN","Proposed_Uniform - rollout/ep_rew_mean__MAX","Prior_Uniform - rollout/ep_rew_mean","Prior_Uniform - rollout/ep_rew_mean__MIN","Prior_Uniform - rollout/ep_rew_mean__MAX","Prior_Strong - rollout/ep_rew_mean","Prior_Strong - rollout/ep_rew_mean__MIN","Prior_Strong - rollout/ep_rew_mean__MAX","Proposed_hard - rollout/ep_rew_mean","Proposed_hard - rollout/ep_rew_mean__MIN","Proposed_hard - rollout/ep_rew_mean__MAX","Proposed_medium2 - rollout/ep_rew_mean","Proposed_medium2 - rollout/ep_rew_mean__MIN","Proposed_medium2 - rollout/ep_rew_mean__MAX","Prior_medium2 - rollout/ep_rew_mean","Prior_medium2 - rollout/ep_rew_mean__MIN","Prior_medium2 - rollout/ep_rew_mean__MAX"
"2","-242.97023","-242.97023","-242.97023","-234.65637","-234.65637","-234.65637","-227.36713","-227.36713","-227.36713","-238.64412","-238.64412","-238.64412","-257.51193","-257.51193","-257.51193","-271.72717","-271.72717","-271.72717"
"14","-242.97023","-242.97023","-242.97023","-234.65637","-234.65637","-234.65637","-227.36713","-227.36713","-227.36713","-238.64412","-238.64412","-238.64412","-257.51193","-257.51193","-257.51193","-271.72717","-271.72717","-271.72717"
"18","-242.97023","-242.97023","-242.97023","-234.65637","-234.65637","-234.65637","-227.36713","-227.36713","-227.36713","-238.64412","-238.64412","-238.64412","-257.51193","-257.51193","-257.51193","-271.72717","-271.72717","-271.72717"
"22","","","","-244.34212","-244.34212","-244.34212","-234.2518","-234.2518","-234.2518","","","","","","","-271.10968","-271.10968","-271.10968"
"34","","","","-244.34212","-244.34212","-244.34212","-234.2518","-234.2518","-234.2518","","","","","","","-271.10968","-271.10968","-271.10968"
"36","-194.52478","-194.52478","-194.52478","","","","","","","","","","-222.85175","-222.85175","-222.85175","","",""
"38","","","","-244.34212","-244.34212","-244.34212","-234.2518","-234.2518","-234.2518","","","","","","","-271.10968","-271.10968","-271.10968"
"44","","","","","","","","","","-174.58835","-174.58835","-174.58835","","","","","",""
"45","","","","","","","","","","","","","","","","-255.62871","-255.62871","-255.62871"
"50","-194.52478","-194.52478","-194.52478","","","","","","","","","","-222.85175","-222.85175","-222.85175","","",""
"53","","","","-224.76584","-224.76584","-224.76584","-226.02673","-226.02673","-226.02673","","","","","","","","",""
"54","-194.52478","-194.52478","-194.52478","","","","","","","","","","-222.85175","-222.85175","-222.85175","","",""
"58","","","","","","","","","","-174.58835","-174.58835","-174.58835","","","","","",""
"59","","","","","","","","","","","","","","","","-255.62871","-255.62871","-255.62871"
"62","","","","","","","","","","-174.58835","-174.58835","-174.58835","","","","","",""
"63","-194.69484","-194.69484","-194.69484","","","","","","","","","","","","","-255.62871","-255.62871","-255.62871"
"67","","","","-224.76584","-224.76584","-224.76584","-226.02673","-226.02673","-226.02673","","","","","","","","",""
"71","","","","-224.76584","-224.76584","-224.76584","-226.02673","-226.02673","-226.02673","","","","-189.36742","-189.36742","-189.36742","","",""
"77","-194.69484","-194.69484","-194.69484","","","","","","","","","","","","","","",""
"79","","","","","","","","","","-165.99013","-165.99013","-165.99013","","","","","",""
"81","-194.69484","-194.69484","-194.69484","","","","","","","","","","","","","","",""
"85","","","","","","","","","","","","","-189.36742","-189.36742","-189.36742","","",""
"89","","","","-198.909","-198.909","-198.909","","","","","","","-189.36742","-189.36742","-189.36742","-205.2138","-205.2138","-205.2138"
"93","","","","","","","","","","-165.99013","-165.99013","-165.99013","","","","","",""
"97","","","","","","","-200.9389","-200.9389","-200.9389","-165.99013","-165.99013","-165.99013","","","","","",""
