"Step","Proposed_Uniform - rollout/ep_len_mean","Proposed_Uniform - rollout/ep_len_mean__MIN","Proposed_Uniform - rollout/ep_len_mean__MAX","Prior_Uniform - rollout/ep_len_mean","Prior_Uniform - rollout/ep_len_mean__MIN","Prior_Uniform - rollout/ep_len_mean__MAX","Prior_Strong - rollout/ep_len_mean","Prior_Strong - rollout/ep_len_mean__MIN","Prior_Strong - rollout/ep_len_mean__MAX","Proposed_hard - rollout/ep_len_mean","Proposed_hard - rollout/ep_len_mean__MIN","Proposed_hard - rollout/ep_len_mean__MAX","Proposed_medium2 - rollout/ep_len_mean","Proposed_medium2 - rollout/ep_len_mean__MIN","Proposed_medium2 - rollout/ep_len_mean__MAX","Prior_medium2 - rollout/ep_len_mean","Prior_medium2 - rollout/ep_len_mean__MIN","Prior_medium2 - rollout/ep_len_mean__MAX"
"1","750","750","750","750","750","750","693.5833","693.5833","693.5833","750","750","750","750","750","750","750","750","750"
"13","750","750","750","750","750","750","693.5833","693.5833","693.5833","750","750","750","750","750","750","750","750","750"
"17","750","750","750","750","750","750","693.5833","693.5833","693.5833","750","750","750","750","750","750","750","750","750"
"21","","","","750","750","750","721.7917","721.7917","721.7917","","","","","","","750","750","750"
"33","","","","750","750","750","721.7917","721.7917","721.7917","","","","","","","750","750","750"
"35","750","750","750","","","","","","","","","","740.2083","740.2083","740.2083","","",""
"37","","","","750","750","750","721.7917","721.7917","721.7917","","","","","","","750","750","750"
"43","","","","","","","","","","727","727","727","","","","","",""
"44","","","","","","","","","","","","","","","","750","750","750"
"49","750","750","750","","","","","","","","","","740.2083","740.2083","740.2083","","",""
"52","","","","744.0278","744.0278","744.0278","724.5833","724.5833","724.5833","","","","","","","","",""
"53","750","750","750","","","","","","","","","","740.2083","740.2083","740.2083","","",""
"57","","","","","","","","","","727","727","727","","","","","",""
"58","","","","","","","","","","","","","","","","750","750","750"
"61","","","","","","","","","","727","727","727","","","","","",""
"62","750","750","750","","","","","","","","","","","","","750","750","750"
"66","","","","744.0278","744.0278","744.0278","724.5833","724.5833","724.5833","","","","","","","","",""
"70","","","","744.0278","744.0278","744.0278","724.5833","724.5833","724.5833","","","","703.75","703.75","703.75","","",""
"76","750","750","750","","","","","","","","","","","","","","",""
"78","","","","","","","","","","728.3889","728.3889","728.3889","","","","","",""
"80","750","750","750","","","","","","","","","","","","","","",""
"84","","","","","","","","","","","","","703.75","703.75","703.75","","",""
"88","","","","737.4167","737.4167","737.4167","","","","","","","703.75","703.75","703.75","725.625","725.625","725.625"
"92","","","","","","","","","","728.3889","728.3889","728.3889","","","","","",""
"96","","","","","","","698.25","698.25","698.25","728.3889","728.3889","728.3889","","","","","",""
"102","","","","737.4167","737.4167","737.4167","","","","","","","","","","725.625","725.625","725.625"
"106","728.7083","728.7083","728.7083","737.4167","737.4167","737.4167","","","","","","","","","","725.625","725.625","725.625"
"110","","","","729.5833","729.5833","729.5833","706.3542","706.3542","706.3542","","","","","","","704.75","704.75","704.75"
"114","","","","","","","","","","","","","701.625","701.625","701.625","","",""
"120","728.7083","728.7083","728.7083","","","","","","","","","","","","","","",""
"122","","","","","","","","","","712.25","712.25","712.25","","","","","",""
"124","728.7083","728.7083","728.7083","729.5833","729.5833","729.5833","706.3542","706.3542","706.3542","","","","","","","707.26666","707.26666","707.26666"
"128","","","","729.5833","729.5833","729.5833","697.13464","697.13464","697.13464","","","","709.6875","709.6875","709.6875","","",""
"136","","","","","","","","","","718.5417","718.5417","718.5417","","","","","",""
"138","","","","","","","","","","","","","","","","707.26666","707.26666","707.26666"
"142","","","","","","","704.93445","704.93445","704.93445","","","","709.6875","709.6875","709.6875","709.9375","709.9375","709.9375"
"145","","","","732.9861","732.9861","732.9861","","","","","","","","","","","",""
"146","","","","","","","","","","","","","699.8269","699.8269","699.8269","","",""
"150","732.9667","732.9667","732.9667","","","","","","","718.5417","718.5417","718.5417","","","","","",""
